Time, Value
21:36:00, -212
21:36:00, -161
21:36:00, -102
21:36:00, -43
21:36:00, 25
21:36:00, 89
21:36:00, 182
21:36:00, 265
21:36:00, 297
21:36:00, 289
21:36:00, 249
21:36:00, 219
21:36:00, 219
21:36:00, 230
21:36:00, 218
21:36:00, 220
21:36:00, 244
21:36:00, 253
21:36:00, 236
21:36:00, 213
21:36:00, 224
21:36:00, 244
21:36:00, 225
21:36:00, 178
21:36:00, 140
21:36:00, 106
21:36:00, 90
21:36:00, 86
21:36:00, 69
21:36:00, 59
21:36:00, 82
21:36:00, 115
21:36:01, 121
21:36:01, 109
21:36:01, 99
21:36:01, 82
21:36:01, 71
21:36:01, 77
21:36:01, 86
21:36:01, 99
21:36:01, 88
21:36:01, 64
21:36:01, 65
21:36:01, 85
21:36:01, 87
21:36:01, 67
21:36:01, 44
21:36:01, 28
21:36:01, 23
21:36:01, 24
21:36:01, 35
21:36:01, 44
21:36:01, 51
21:36:01, 54
21:36:01, 45
21:36:01, 43
21:36:01, 58
21:36:01, 56
21:36:01, 28
21:36:01, 26
21:36:01, 53
21:36:01, 75
21:36:01, 76
21:36:01, 54
21:36:01, 10
21:36:01, -7
21:36:01, 8
21:36:01, 26
21:36:01, 48
21:36:01, 66
21:36:01, 65
21:36:01, 35
21:36:01, 21
21:36:01, 27
21:36:01, 55
21:36:01, 86
21:36:01, 91
21:36:01, 70
21:36:01, 48
21:36:01, 44
21:36:01, 53
21:36:01, 60
21:36:01, 64
21:36:01, 48
21:36:01, 38
21:36:01, 42
21:36:01, 54
21:36:01, 66
21:36:01, 73
21:36:01, 75
21:36:01, 80
21:36:01, 76
21:36:01, 80
21:36:01, 83
21:36:01, 99
21:36:01, 118
21:36:01, 137
21:36:01, 147
21:36:01, 128
21:36:01, 112
21:36:01, 118
21:36:01, 128
21:36:01, 107
21:36:01, 85
21:36:01, 75
21:36:01, 52
21:36:01, 23
21:36:01, 23
21:36:01, 32
21:36:01, 33
21:36:01, 34
21:36:01, 32
21:36:01, 9
21:36:01, 2
21:36:01, 24
21:36:01, 38
21:36:01, 17
21:36:01, -4
21:36:01, -2
21:36:01, 11
21:36:01, 11
21:36:01, -1
21:36:01, -9
21:36:01, -9
21:36:01, -11
21:36:01, 1
21:36:01, 21
21:36:01, 34
21:36:01, 38
21:36:01, 44
