Time, Value
14:34:53, 43.3
14:34:53, 41.5
14:34:53, 67.3
14:34:53, 78.2
14:34:53, 45
14:34:53, -13.5
14:34:53, -48.8
14:34:53, -34.9
14:34:53, 3.72
14:34:53, 21.5
14:34:53, 5.79
14:34:53, -11.7
14:34:53, 2.04
14:34:53, 38
14:34:53, 56
14:34:53, 34.3
14:34:53, -2.9
14:34:53, -11.8
14:34:53, 20.9
14:34:53, 63.4
14:34:53, 77.2
14:34:53, 60.4
14:34:53, 36.7
14:34:53, 15.9
14:34:53, -9.43
14:34:53, -31.1
14:34:53, -20.3
14:34:53, 33.2
14:34:53, 96.1
14:34:53, 125
14:34:53, 110
14:34:53, 76
14:34:53, 62.1
14:34:53, 91
14:34:53, 152
14:34:53, 207
14:34:53, 226
14:34:53, 219
14:34:53, 220
14:34:53, 238
14:34:53, 258
14:34:53, 266
14:34:53, 272
14:34:53, 289
14:34:53, 314
14:34:53, 324
14:34:53, 309
14:34:53, 289
14:34:53, 283
14:34:53, 276
14:34:53, 245
14:34:53, 207
14:34:53, 199
14:34:53, 220
14:34:53, 231
14:34:53, 221
14:34:53, 210
14:34:53, 201
14:34:53, 167
14:34:53, 108
14:34:53, 62.5
14:34:53, 55.9
14:34:53, 66.2
14:34:53, 60.5
14:34:53, 41.3
14:34:53, 14
14:34:53, -8.38
14:34:53, -25.5
14:34:53, -32.9
14:34:53, -29.6
14:34:53, -29.9
14:34:53, -46.3
14:34:53, -66.9
14:34:53, -70
14:34:53, -57.1
14:34:53, -44.1
14:34:53, -30.7
14:34:53, -8.36
14:34:53, 5.76
14:34:53, -12.4
14:34:53, -43.2
14:34:53, -41.5
14:34:53, -5.2
14:34:53, 22
14:34:53, 12.5
14:34:53, -20.7
14:34:53, -50.8
14:34:53, -60.2
14:34:53, -50.3
14:34:53, -45
14:34:53, -64.1
14:34:53, -87.6
14:34:53, -75.2
14:34:53, -23.5
14:34:53, 22.1
14:34:53, 20.4
14:34:53, -19.9
14:34:53, -54.6
14:34:53, -57.2
14:34:53, -44.4
14:34:53, -47.3
14:34:53, -70.3
14:34:53, -93.1
14:34:53, -102
14:34:53, -102
14:34:53, -97.1
14:34:53, -87.2
14:34:53, -77.2
14:34:53, -77
14:34:53, -84.1
14:34:53, -81.9
14:34:53, -56.3
14:34:53, -11.9
14:34:53, 22.9
14:34:53, 16.6
14:34:53, -29.1
14:34:53, -75.5
14:34:53, -92
14:34:53, -87.1
14:34:53, -85.8
14:34:53, -95.1
14:34:53, -103
14:34:53, -101
14:34:53, -96.9
14:34:53, -101
14:34:53, -101
14:34:53, -75.6
14:34:53, -39.2
14:34:53, -28.3
14:34:53, -48
14:34:53, -64.2
14:34:53, -62
14:34:53, -68.7
14:34:53, -100
14:34:53, -122
14:34:53, -96.1
14:34:53, -41.7
14:34:53, -14.9
14:34:53, -34.3
14:34:53, -62.4
14:34:53, -61.4
14:34:53, -39.8
14:34:53, -27.9
14:34:53, -28.6
14:34:53, -22.4
14:34:53, -11.6
14:34:53, -21
14:34:53, -53.8
14:34:53, -79.2
14:34:53, -76.4
14:34:53, -62
14:34:53, -61.2
14:34:53, -72.5
14:34:53, -81.7
14:34:53, -90.8
14:34:53, -106
14:34:53, -112
14:34:53, -93
14:34:53, -71.7
14:34:53, -79.7
14:34:53, -98.5
14:34:53, -83.8
14:34:53, -38.5
14:34:53, -8.41
14:34:53, -12.2
14:34:53, -25.8
14:34:53, -29.7
14:34:53, -28.4
14:34:53, -24.1
14:34:53, -9.88
14:34:53, 6.9
14:34:53, 4.49
14:34:53, -20.3
14:34:53, -41.8
14:34:53, -38
14:34:53, -15.5
14:34:53, 6.54
14:34:53, 19.8
14:34:53, 29.9
14:34:53, 44.9
14:34:53, 67.3
14:34:53, 92.6
14:34:53, 114
14:34:53, 131
14:34:53, 142
14:34:53, 144
14:34:53, 134
14:34:53, 121
14:34:53, 113
14:34:53, 110
14:34:53, 115
14:34:53, 135
14:34:53, 164
14:34:53, 181
14:34:53, 165
14:34:53, 122
14:34:53, 85.3
14:34:53, 83.2
14:34:53, 111
14:34:53, 134
14:34:53, 124
14:34:53, 84.8
14:34:53, 41.8
14:34:53, 17.9
14:34:53, 20
14:34:53, 37
14:34:53, 48.5
14:34:53, 42.6
14:34:53, 22
14:34:53, -5.54
14:34:53, -32.2
14:34:53, -46.6
14:34:53, -40.9
14:34:53, -24.1
14:34:53, -14.6
14:34:53, -19.7
14:34:53, -34
14:34:53, -48.5
14:34:53, -53.4
14:34:53, -45.5
14:34:53, -36.4
14:34:53, -36
14:34:53, -37
14:34:53, -33.3
14:34:53, -37.1
14:34:53, -58
14:34:53, -81.6
14:34:53, -87.5
14:34:53, -78.7
14:34:53, -76.1
14:34:53, -85.1
14:34:53, -87.3
14:34:53, -76.7
14:34:53, -73.4
14:34:53, -85.4
14:34:53, -91.5
14:34:53, -78.8
14:34:53, -63
14:34:53, -56.8
14:34:53, -53
14:34:53, -49.4
14:34:53, -55
14:34:53, -61.9
14:34:53, -46.5
14:34:53, -9.99
14:34:53, 17
14:34:53, 17.8
14:34:53, 11
14:34:53, 17.8
14:34:53, 37.2
14:34:53, 56.4
14:34:53, 62
14:34:53, 41.7
14:34:53, 0.0707
14:34:53, -32.3
14:34:53, -27.1
14:34:53, -30.7
14:34:53, -0.975
14:34:53, 11.2
14:34:53, 21.6
14:34:53, 40.2
14:34:53, 53.2
14:34:53, 47.5
14:34:53, 32.9
14:34:53, 24.8
14:34:53, 24
14:34:53, 20.9
14:34:53, 13.2
14:34:53, 11.1
14:34:53, 21.9
14:34:53, 33.1
14:34:53, 24.7
14:34:53, 4.79
14:34:53, 9.46
14:34:53, 51.8
14:34:53, 90.7
14:34:53, 78.5
14:34:53, 25.1
14:34:53, -18.5
14:34:53, -26.3
14:34:53, -12.3
14:34:53, 4.7
14:34:53, 17.5
14:34:53, 22.7
14:34:53, 17.9
14:34:53, 7.43
14:34:53, 4.87
14:34:53, 24.1
14:34:53, 57.7
14:34:53, 74.1
14:34:53, 56.6
14:34:53, 29.1
14:34:53, 18.6
14:34:53, 12
14:34:53, -18
14:34:53, -63.5
14:34:53, -88.1
14:34:53, -72.4
14:34:53, -31.4
14:34:53, 4.86
14:34:53, 19.3
14:34:53, 24
14:34:53, 46.3
14:34:53, 98.3
14:34:53, 161
14:34:53, 199
14:34:53, 193
14:34:53, 164
14:34:53, 153
14:34:53, 169
14:34:53, 180
14:34:53, 161
14:34:53, 116
14:34:53, 74.2
14:34:53, 57.6
14:34:53, 70.9
14:34:53, 96.8
14:34:53, 112
14:34:53, 107
14:34:53, 91
14:34:53, 67.8
14:34:53, 55.2
14:34:53, 51.4
14:34:53, 53
14:34:53, 45.4
14:34:53, 17.4
14:34:53, -20.1
14:34:53, -42.9
14:34:53, -41.4
14:34:53, -27.7
14:34:53, -16.5
14:34:53, -14.3
14:34:53, -25.7
14:34:53, -51.1
14:34:53, -72.9
14:34:53, -67.4
14:34:53, -38.1
14:34:53, -14.2
14:34:53, -12
14:34:53, -24.1
