Time, PoorSignal, Attention, Meditation
17:35:27, 0, 17, 1
17:35:28, 0, 23, 17
17:35:29, 0, 47, 35
17:35:30, 0, 40, 24
17:35:31, 0, 30, 26
17:35:32, 0, 38, 20
17:35:33, 0, 24, 17
17:35:34, 0, 27, 29
17:35:35, 0, 16, 20
17:35:36, 0, 3, 29
17:35:37, 0, 1, 35
17:35:38, 0, 8, 35
17:35:39, 0, 17, 35
17:35:40, 0, 30, 27
17:35:41, 0, 30, 16
17:35:42, 0, 24, 1
17:35:43, 0, 29, 7
17:35:44, 0, 24, 11
17:35:45, 0, 41, 29
17:35:46, 0, 40, 40
17:35:47, 0, 27, 41
17:35:48, 0, 29, 43
17:35:49, 0, 3, 14
17:35:50, 0, 8, 11
17:35:51, 0, 16, 10
17:35:52, 0, 17, 1
17:35:53, 0, 34, 3
17:35:54, 0, 43, 3
17:35:55, 0, 40, 1
17:35:56, 0, 43, 1
