Time, Value
13:46:25, 19
13:46:25, 37
13:46:25, 38
13:46:25, 42
13:46:25, 48
13:46:25, 40
13:46:25, 34
13:46:25, 57
13:46:25, 100
13:46:25, 119
13:46:25, 117
13:46:25, 89
13:46:25, 57
13:46:25, 55
13:46:25, 66
13:46:25, 64
13:46:25, 49
13:46:25, 41
13:46:25, 49
13:46:25, 51
13:46:25, 42
13:46:25, 48
13:46:25, 58
13:46:25, 59
13:46:25, 34
13:46:25, -9
13:46:25, -39
13:46:25, -9
13:46:25, 25
13:46:25, 11
13:46:25, -26
13:46:25, -41
13:46:25, -7
13:46:25, 34
13:46:25, 34
13:46:25, 19
13:46:25, 16
13:46:25, 24
13:46:25, 39
13:46:25, 49
13:46:25, 41
13:46:25, 29
13:46:25, 22
13:46:25, 28
13:46:25, 45
13:46:25, 65
13:46:25, 55
13:46:25, 26
13:46:25, 17
13:46:25, 29
13:46:25, 34
13:46:25, 24
13:46:25, 33
13:46:25, 59
13:46:25, 67
13:46:25, 66
13:46:25, 70
13:46:25, 85
13:46:25, 112
13:46:25, 128
13:46:25, 134
13:46:25, 125
13:46:25, 107
13:46:25, 102
13:46:25, 100
13:46:25, 86
13:46:25, 82
13:46:25, 77
13:46:25, 67
13:46:25, 61
13:46:25, 61
13:46:25, 55
13:46:25, 49
13:46:25, 49
13:46:25, 38
13:46:25, 19
13:46:25, 3
13:46:25, 4
13:46:25, 0
13:46:25, 0
13:46:25, -2
13:46:25, -24
13:46:25, -39
13:46:25, -22
13:46:25, -4
13:46:25, -2
13:46:25, 3
13:46:25, 17
13:46:25, 19
13:46:25, 4
13:46:25, 0
13:46:25, 1
13:46:25, 18
13:46:25, 44
13:46:25, 58
13:46:25, 32
13:46:25, -2
13:46:25, 6
13:46:25, 40
13:46:25, 64
13:46:25, 50
13:46:25, 28
13:46:25, 26
13:46:25, 28
13:46:25, 44
13:46:25, 80
13:46:25, 97
13:46:25, 90
13:46:25, 85
13:46:25, 85
13:46:25, 100
13:46:25, 122
13:46:25, 129
13:46:25, 118
13:46:25, 114
13:46:25, 105
13:46:25, 81
13:46:25, 88
13:46:25, 102
13:46:25, 70
13:46:25, 28
13:46:25, 27
13:46:25, 35
13:46:25, 49
13:46:25, 52
13:46:25, 48
13:46:25, 49
13:46:25, 37
13:46:25, 23
13:46:25, 21
13:46:25, 16
13:46:25, -4
13:46:25, -26
13:46:25, -29
