Time, PoorSignal, Attention, Meditation
12:22:10, 0, 30, 29
12:22:11, 0, 17, 44
12:22:12, 0, 24, 34
12:22:13, 0, 37, 30
12:22:14, 0, 35, 23
12:22:15, 0, 35, 17
12:22:16, 0, 30, 29
12:22:17, 0, 20, 34
12:22:18, 0, 27, 53
12:22:19, 0, 29, 48
12:22:20, 0, 38, 38
12:22:21, 0, 41, 47
12:22:22, 0, 43, 48
12:22:23, 0, 54, 51
12:22:24, 0, 61, 47
12:22:25, 0, 74, 44
12:22:26, 0, 77, 35
12:22:27, 0, 78, 34
12:22:28, 0, 67, 53
12:22:29, 0, 54, 51
12:22:30, 0, 47, 47
12:22:31, 0, 40, 47
12:22:32, 0, 35, 34
12:22:33, 0, 30, 48
12:22:34, 0, 43, 53
12:22:35, 0, 34, 44
12:22:36, 0, 29, 27
12:22:37, 0, 35, 4
12:22:38, 0, 35, 10
12:22:39, 0, 44, 24
12:22:40, 0, 53, 38
