Time, Value
17:00:47, -4.11
17:00:47, -23.5
17:00:47, -44.4
17:00:47, -57.6
17:00:47, -62.7
17:00:47, -68
17:00:47, -77.5
17:00:47, -84
17:00:47, -80.8
17:00:47, -74
17:00:47, -73.9
17:00:47, -79
17:00:47, -77.7
17:00:47, -66.2
17:00:47, -52.6
17:00:47, -42.2
17:00:47, -30.9
17:00:47, -18.8
17:00:47, -15.7
17:00:47, -26.3
17:00:47, -39
17:00:47, -39
17:00:47, -27.4
17:00:47, -16.9
17:00:47, -10.4
17:00:47, 3.58
17:00:47, 29.4
17:00:47, 53.6
17:00:47, 61.9
17:00:47, 55.3
17:00:47, 44.2
17:00:47, 35.2
17:00:47, 31.2
17:00:47, 33.8
17:00:47, 41.1
17:00:47, 47.8
17:00:47, 51.2
17:00:47, 53.6
17:00:47, 58.3
17:00:47, 66.1
17:00:47, 77.5
17:00:47, 92.1
17:00:47, 105
17:00:47, 106
17:00:47, 92.9
17:00:47, 73
17:00:47, 59.1
17:00:47, 54.2
17:00:47, 49
17:00:47, 33.5
17:00:47, 7.27
17:00:47, -19.4
17:00:47, -32.7
17:00:47, -28.4
17:00:47, -18.2
17:00:47, -17.4
17:00:47, -26.9
17:00:47, -37
17:00:47, -42.4
17:00:47, -43.7
17:00:47, -39.3
17:00:47, -29
17:00:47, -20
17:00:47, -22.3
17:00:47, -31.6
17:00:47, -43.5
17:00:47, -44.6
17:00:47, -38.5
17:00:47, -32.6
17:00:47, -28.2
17:00:47, -26.3
17:00:47, -29.6
17:00:47, -36.4
17:00:47, -40.8
17:00:47, -38.8
17:00:47, -30.3
17:00:47, -17.6
17:00:47, -5.95
17:00:47, -5.29
17:00:47, -21.7
17:00:47, -46.6
17:00:47, -61.3
17:00:47, -56.4
17:00:47, -41.9
17:00:47, -35.4
17:00:47, -42.1
17:00:47, -50.5
17:00:47, -48.8
17:00:47, -39.7
17:00:47, -30.9
17:00:47, -21.7
17:00:47, -11.1
17:00:47, -10.4
17:00:47, -28.2
17:00:47, -49.4
17:00:47, -49
17:00:47, -26.6
17:00:47, -7.03
