Time, Value
20:54:10, 7.88
20:54:10, 0.346
20:54:10, 42.8
20:54:10, 79.4
20:54:10, 66.1
20:54:10, 21.3
20:54:10, 2.96
20:54:10, 28.6
20:54:10, 42.9
20:54:10, -0.803
20:54:10, -60.8
20:54:10, -60.4
20:54:10, 2.08
20:54:10, 53.1
20:54:10, 42
20:54:10, -3.05
20:54:10, -17.3
20:54:10, 19.1
20:54:10, 50.6
20:54:10, 16.9
20:54:10, -56.4
20:54:10, -88.1
20:54:10, -51
20:54:10, 2.54
20:54:10, 15
20:54:10, -15.3
20:54:10, -43.1
20:54:10, -26.4
20:54:10, 19.9
20:54:10, 32.4
20:54:10, -15.3
20:54:10, -63.6
20:54:10, -44.5
20:54:10, 20.3
20:54:10, 45.6
20:54:10, -3
20:54:10, -59.8
20:54:10, -39.6
20:54:10, 45.6
20:54:10, 91.7
20:54:10, 38.8
20:54:10, -45.2
20:54:10, -56.3
20:54:10, 11.6
20:54:10, 73.2
20:54:10, 68
20:54:10, 22.4
20:54:10, 1.79
20:54:10, 29
20:54:10, 60
20:54:10, 42.1
20:54:10, -13.8
20:54:10, -47
20:54:10, -31.6
20:54:10, -5.51
20:54:10, -5.95
20:54:10, -24.1
20:54:10, -29.2
20:54:10, -7.29
20:54:10, 18.2
20:54:10, 5.08
20:54:10, -46.4
20:54:10, -71.9
20:54:10, -24
20:54:10, 55.6
20:54:10, 78.2
20:54:10, 30.7
20:54:10, -23.2
20:54:10, -20.9
20:54:10, 26
20:54:10, 47.4
20:54:10, 6.51
20:54:10, -50.2
20:54:10, -60.3
20:54:10, -24.7
20:54:10, 9.26
20:54:10, 8.63
20:54:10, -18.7
20:54:10, -36.2
20:54:10, -21.5
20:54:10, -3
20:54:10, -26.3
20:54:10, -78.8
20:54:10, -95.1
20:54:10, -48.6
20:54:10, 11.3
20:54:10, 23.9
20:54:10, -14.4
20:54:10, -51.1
20:54:10, -35.9
20:54:10, 10.7
20:54:10, 11.9
20:54:10, -54.2
20:54:10, -108
20:54:10, -77.8
20:54:10, -0.904
20:54:10, 38.2
20:54:10, 21.3
20:54:10, -0.547
20:54:10, 13.3
20:54:10, 44.2
20:54:10, 40.1
20:54:10, -14.4
20:54:10, -62.2
20:54:10, -41.8
20:54:10, 20.8
20:54:10, 41.5
20:54:10, -2.69
20:54:10, -41.8
20:54:10, -11.7
20:54:10, 58.3
20:54:10, 79.6
20:54:10, 18.4
20:54:10, -56.7
20:54:10, -58.9
20:54:10, 8.88
20:54:10, 68.7
20:54:10, 67.5
20:54:10, 26.2
20:54:10, 3.91
20:54:10, 27.9
20:54:10, 51.1
20:54:10, 7.7
20:54:10, -76.6
20:54:10, -98.4
20:54:10, -25.1
20:54:10, 51.1
20:54:10, 41.2
20:54:10, -31.4
20:54:10, -71.8
20:54:10, -37.5
20:54:10, 26.3
20:54:10, 42.5
20:54:10, -6.56
20:54:10, -53.1
20:54:10, -28
20:54:10, 49.2
20:54:10, 91
20:54:10, 47.5
20:54:10, -28.3
20:54:10, -37.9
20:54:10, 32.9
20:54:10, 85.5
20:54:10, 44.3
20:54:10, -34.9
20:54:10, -49.7
20:54:10, 4.48
20:54:10, 47.5
20:54:10, 35
20:54:10, 2.44
20:54:10, 3.74
20:54:10, 43.7
20:54:10, 73
20:54:10, 47.4
20:54:10, -12.6
20:54:10, -44.5
20:54:10, -20.4
20:54:10, 27.9
20:54:10, 53
20:54:10, 39.4
20:54:10, 15.4
20:54:10, 20.6
20:54:10, 48.6
20:54:10, 47.8
20:54:10, 0.141
20:54:10, -38.9
20:54:10, -12.2
20:54:10, 57.9
20:54:10, 96.8
20:54:10, 72
20:54:10, 32.3
20:54:10, 43
20:54:10, 89.6
20:54:10, 86.3
20:54:10, 2.56
20:54:10, -73
20:54:10, -51.7
20:54:10, 29.7
20:54:10, 66.9
20:54:10, 25.6
20:54:10, -32.2
20:54:10, -35.5
20:54:10, 15.7
20:54:10, 53.3
20:54:10, 23.8
20:54:10, -41.8
20:54:10, -68.7
20:54:10, -36.1
20:54:10, 5.34
20:54:10, 7.88
20:54:10, -24.3
20:54:10, -54
20:54:10, -51.4
20:54:10, -35.6
20:54:10, -49
20:54:10, -88
20:54:10, -86
20:54:10, -18.3
20:54:10, 43.3
20:54:10, 27.9
20:54:10, -37.4
20:54:10, -69.3
20:54:10, -32.1
20:54:10, 25.9
20:54:10, 31.5
20:54:10, -23.8
20:54:10, -73.9
20:54:10, -68.6
20:54:10, -34.7
20:54:10, -23.4
20:54:10, -40.6
20:54:10, -53.8
20:54:10, -35.6
20:54:10, 3.96
20:54:10, 16.1
20:54:10, -27.7
20:54:10, -80.5
20:54:10, -70.2
20:54:10, -1.07
20:54:10, 49
20:54:10, 32.2
20:54:10, -12.9
20:54:10, -16.8
20:54:10, 33.2
20:54:10, 71.6
20:54:10, 31.9
20:54:10, -55.6
20:54:10, -84.7
20:54:10, -15.7
20:54:10, 65.5
20:54:10, 66.6
20:54:10, 5.56
20:54:10, -30.8
20:54:10, -1.34
20:54:10, 47.3
20:54:10, 45.7
20:54:10, -6.75
20:54:10, -37.7
20:54:10, 0.974
20:54:10, 65.6
20:54:10, 78.7
20:54:10, 27.6
20:54:10, -26.6
20:54:10, -25.4
20:54:10, 19.1
20:54:10, 39.2
20:54:10, -4.73
20:54:10, -72.7
20:54:10, -92.7
20:54:10, -50
20:54:10, -3.2
20:54:10, -9.94
20:54:10, -55.2
20:54:10, -72.1
20:54:10, -34.2
20:54:10, 2.2
20:54:10, -25.1
20:54:10, -78
20:54:10, -77.3
20:54:10, -10.9
20:54:10, 46.8
20:54:10, 39.8
20:54:10, -7.61
20:54:10, -36.1
20:54:10, -17.3
20:54:10, 22.8
20:54:10, 27.9
20:54:10, -18.7
20:54:10, -57.8
20:54:10, -27.8
20:54:10, 41.3
20:54:10, 62.7
20:54:10, 12.8
20:54:10, -35.4
20:54:10, -10.6
20:54:10, 56.9
20:54:10, 71.2
20:54:10, 3.98
20:54:10, -60.7
20:54:10, -38.1
20:54:10, 44.7
20:54:10, 84.5
20:54:10, 32.5
20:54:10, -44.5
20:54:10, -43.1
20:54:10, 41.6
20:54:10, 98
20:54:10, 42.6
20:54:10, -59
20:54:10, -79.5
20:54:10, -2.87
20:54:10, 69.4
20:54:10, 65.4
20:54:10, 19.2
20:54:10, 5.62
20:54:10, 45.1
20:54:10, 82.9
20:54:10, 60.4
20:54:10, -1.64
20:54:10, -25.6
20:54:10, 11.5
20:54:10, 47.8
20:54:10, 32.1
20:54:10, -10.4
20:54:10, -25.3
20:54:10, 4.18
20:54:10, 40.5
20:54:10, 30
20:54:10, -28.1
20:54:10, -65.8
20:54:10, -30
20:54:10, 41.1
20:54:10, 66
20:54:10, 23.9
20:54:10, -25.8
20:54:10, -21.4
20:54:10, 24.9
20:54:10, 45
20:54:10, 7.5
20:54:10, -40.3
20:54:11, -44.5
20:54:11, -15.2
20:54:11, 7
20:54:11, 7.4
20:54:11, -0.208
20:54:11, 5.44
20:54:11, 31.4
20:54:11, 48.9
20:54:11, 21
20:54:11, -32.6
20:54:11, -45.2
20:54:11, 4.28
20:54:11, 57.5
20:54:11, 55.7
20:54:11, 10.7
20:54:11, -18
20:54:11, 5.95
