Time, PoorSignal, Attention, Meditation
16:31:19, 0, 53, 38
16:31:20, 0, 43, 50
16:31:21, 0, 47, 48
16:31:22, 0, 54, 48
16:31:23, 0, 63, 64
16:31:24, 0, 64, 57
16:31:25, 0, 64, 63
16:31:26, 0, 53, 64
16:31:27, 0, 41, 64
16:31:28, 0, 43, 67
16:31:29, 0, 40, 75
16:31:30, 0, 51, 75
16:31:31, 0, 56, 75
16:31:32, 0, 60, 60
16:31:33, 0, 64, 51
16:31:34, 0, 64, 51
16:31:35, 0, 69, 50
16:31:36, 0, 67, 60
16:31:37, 0, 75, 64
16:31:38, 0, 66, 70
16:31:39, 0, 78, 77
16:31:40, 0, 80, 77
16:31:41, 0, 60, 70
16:31:42, 0, 64, 66
16:31:43, 0, 51, 54
16:31:44, 0, 53, 51
16:31:45, 0, 78, 56
16:31:46, 0, 93, 47
16:31:47, 0, 100, 60
16:31:48, 0, 100, 60
