Time, Value
16:31:18, -12.4
16:31:18, -18.3
16:31:18, -17.5
16:31:18, -14
16:31:18, -7.85
16:31:18, 2.57
16:31:18, 12.4
16:31:18, 14.7
16:31:18, 11.2
16:31:18, 9.28
16:31:18, 12.2
16:31:18, 15.4
16:31:18, 10.1
16:31:18, -8.85
16:31:18, -35.1
16:31:18, -54.6
16:31:18, -60.3
16:31:18, -60.3
16:31:18, -67.1
16:31:18, -80.2
16:31:18, -84.1
16:31:18, -67.9
16:31:18, -40.6
16:31:18, -21.5
16:31:18, -18.3
16:31:18, -20.2
16:31:18, -10.1
16:31:18, 16.4
16:31:18, 46.4
16:31:18, 67.8
16:31:18, 85.2
16:31:18, 105
16:31:18, 118
16:31:18, 115
16:31:18, 105
16:31:18, 101
16:31:18, 97.8
16:31:18, 80.9
16:31:18, 56.3
16:31:18, 41.1
16:31:18, 39.8
16:31:18, 41.1
16:31:18, 32.3
16:31:18, 11.5
16:31:18, -11.9
16:31:18, -25.6
16:31:18, -24
16:31:18, -10.7
16:31:18, 6.83
16:31:18, 18.3
16:31:18, 12.7
16:31:18, -8.1
16:31:18, -24.4
16:31:18, -22.9
16:31:18, -16.2
16:31:18, -22.6
16:31:18, -35.1
16:31:18, -33.2
16:31:18, -16
16:31:18, -3.78
16:31:18, -7.14
16:31:18, -14.6
16:31:18, -11.7
16:31:18, 1.27
16:31:18, 20.9
16:31:18, 32.5
16:31:18, 41.1
16:31:18, 40.1
16:31:18, 25.8
16:31:18, 12.7
16:31:18, 20.3
16:31:18, 46.5
16:31:18, 70.6
16:31:18, 77.6
16:31:18, 67.9
16:31:18, 52.5
16:31:18, 42.4
16:31:18, 39.4
16:31:18, 37.8
16:31:18, 34.2
16:31:18, 30.5
16:31:18, 27.9
16:31:18, 26
16:31:18, 24.4
16:31:18, 22.2
16:31:18, 19.5
16:31:18, 22.1
16:31:18, 34.8
16:31:18, 49.6
16:31:18, 53.9
16:31:18, 49.2
16:31:18, 46.2
16:31:18, 46
16:31:18, 40.6
16:31:18, 28.3
16:31:18, 16.4
16:31:18, 12.3
16:31:18, 14.3
16:31:18, 13.3
16:31:18, 2.91
16:31:18, -13.1
16:31:18, -25.4
16:31:18, -30.2
16:31:18, -31.5
16:31:18, -35
16:31:18, -41.8
16:31:18, -46.6
16:31:18, -43.4
16:31:18, -34.4
16:31:18, -29.6
16:31:18, -33.8
16:31:18, -42.6
16:31:18, -54
16:31:18, -69.4
16:31:18, -79.2
16:31:18, -67.2
16:31:18, -38.2
16:31:18, -21.8
16:31:18, -39
16:31:18, -75.9
16:31:18, -101
16:31:18, -102
16:31:18, -88.3
