Time, Value
16:31:18, 157
16:31:18, 147
16:31:18, 124
16:31:18, 104
16:31:18, 92
16:31:18, 90
16:31:18, 88
16:31:18, 83
16:31:18, 58
16:31:18, 35
16:31:18, 24
16:31:18, 22
16:31:18, 32
16:31:18, 52
16:31:18, 70
16:31:18, 58
16:31:18, 32
16:31:18, 23
16:31:18, 34
16:31:18, 32
16:31:18, 16
16:31:18, 7
16:31:18, 18
16:31:18, 35
16:31:18, 37
16:31:18, 35
16:31:18, 32
16:31:18, 34
16:31:18, 49
16:31:18, 56
16:31:18, 69
16:31:18, 89
16:31:18, 83
16:31:18, 59
16:31:18, 51
16:31:18, 66
16:31:18, 86
16:31:18, 107
16:31:18, 120
16:31:18, 107
16:31:18, 93
16:31:18, 88
16:31:18, 83
16:31:18, 77
16:31:18, 76
16:31:18, 73
16:31:18, 69
16:31:18, 67
16:31:18, 66
16:31:18, 66
16:31:18, 56
16:31:18, 58
16:31:18, 82
16:31:18, 91
16:31:18, 87
16:31:18, 90
16:31:18, 92
16:31:18, 88
16:31:18, 82
16:31:18, 70
16:31:18, 57
16:31:18, 56
16:31:18, 58
16:31:18, 56
16:31:18, 44
16:31:18, 28
16:31:18, 19
16:31:18, 13
16:31:18, 10
16:31:18, 8
16:31:18, -2
16:31:18, -8
16:31:18, -1
16:31:18, 10
16:31:18, 9
16:31:18, 4
16:31:18, 4
16:31:18, -6
16:31:18, -35
16:31:18, -43
16:31:18, -24
16:31:18, 9
16:31:18, 20
16:31:18, -3
16:31:18, -35
16:31:18, -54
16:31:18, -58
16:31:18, -51
16:31:18, -34
16:31:18, -24
16:31:18, -36
16:31:18, -58
16:31:18, -76
16:31:18, -82
16:31:18, -70
16:31:18, -57
16:31:18, -49
16:31:18, -45
16:31:18, -44
16:31:18, -35
16:31:18, -28
16:31:18, -28
16:31:18, -22
16:31:18, -21
16:31:18, -24
16:31:18, -10
16:31:18, 5
16:31:18, 16
16:31:18, 27
16:31:18, 36
16:31:18, 38
16:31:18, 42
16:31:18, 55
16:31:18, 71
16:31:18, 68
16:31:18, 52
16:31:18, 51
16:31:18, 60
16:31:18, 69
16:31:18, 64
16:31:18, 72
16:31:18, 104
16:31:18, 121
16:31:18, 125
16:31:18, 129
16:31:18, 135
16:31:18, 140
16:31:18, 134
16:31:18, 108
16:31:18, 74
16:31:18, 53
16:31:18, 65
16:31:18, 85
16:31:18, 104
16:31:18, 128
16:31:18, 139
16:31:18, 145
16:31:18, 160
16:31:18, 181
16:31:18, 187
16:31:18, 182
16:31:18, 193
16:31:18, 210
16:31:18, 215
16:31:18, 202
16:31:18, 180
16:31:18, 164
16:31:18, 153
16:31:18, 146
16:31:18, 134
16:31:18, 128
16:31:18, 135
16:31:18, 161
16:31:18, 171
16:31:18, 154
16:31:18, 131
16:31:18, 128
16:31:18, 139
16:31:18, 150
16:31:18, 139
16:31:18, 117
16:31:18, 100
16:31:18, 100
16:31:18, 114
16:31:18, 128
16:31:18, 125
16:31:18, 113
16:31:19, 105
16:31:19, 107
16:31:19, 106
16:31:19, 96
16:31:19, 81
16:31:19, 66
16:31:19, 52
16:31:19, 42
16:31:19, 48
16:31:19, 55
16:31:19, 69
16:31:19, 86
16:31:19, 85
16:31:19, 66
16:31:19, 53
16:31:19, 49
16:31:19, 57
16:31:19, 71
16:31:19, 70
16:31:19, 61
16:31:19, 50
16:31:19, 49
16:31:19, 57
16:31:19, 53
16:31:19, 41
16:31:19, 33
16:31:19, 28
16:31:19, 25
16:31:19, 37
16:31:19, 55
16:31:19, 67
16:31:19, 70
16:31:19, 68
16:31:19, 65
