Time, Value
18:39:21, 418
18:39:21, 452
18:39:21, 482
18:39:21, 496
18:39:21, 512
18:39:21, 534
18:39:21, 556
18:39:21, 556
18:39:21, 524
18:39:21, 482
18:39:21, 445
18:39:21, 434
18:39:21, 416
18:39:21, 368
18:39:21, 309
18:39:21, 256
18:39:21, 232
18:39:21, 240
18:39:21, 240
18:39:21, 192
18:39:21, 136
18:39:21, 101
18:39:21, 87
18:39:21, 60
18:39:21, 13
18:39:21, -18
18:39:21, -42
18:39:21, -94
18:39:21, -151
18:39:21, -168
18:39:21, -182
18:39:21, -233
18:39:21, -267
18:39:21, -259
18:39:21, -246
18:39:21, -244
18:39:21, -265
18:39:21, -283
18:39:22, -292
18:39:22, -308
18:39:22, -318
18:39:22, -315
18:39:22, -275
18:39:22, -238
18:39:22, -276
18:39:22, -326
18:39:22, -333
18:39:22, -315
18:39:22, -310
18:39:22, -315
18:39:22, -326
18:39:22, -310
18:39:22, -268
18:39:22, -244
18:39:22, -252
18:39:22, -282
18:39:22, -274
18:39:22, -249
18:39:22, -242
18:39:22, -233
18:39:22, -237
18:39:22, -262
18:39:22, -269
18:39:22, -275
18:39:22, -270
18:39:22, -258
18:39:22, -233
18:39:22, -212
18:39:22, -194
18:39:22, -173
18:39:22, -168
18:39:22, -171
18:39:22, -180
18:39:22, -188
18:39:22, -172
18:39:22, -155
18:39:22, -155
18:39:22, -139
18:39:22, -117
18:39:22, -103
18:39:22, -84
18:39:22, -72
18:39:22, -69
18:39:22, -67
18:39:22, -67
18:39:22, -70
18:39:22, -65
18:39:22, -51
18:39:22, -45
18:39:22, -60
18:39:22, -70
18:39:22, -45
18:39:22, -3
18:39:22, 18
18:39:22, 19
18:39:22, 20
18:39:22, 16
18:39:22, 0
18:39:22, 8
18:39:22, 25
18:39:22, 27
18:39:22, 24
18:39:22, 20
18:39:22, 12
18:39:22, 21
18:39:22, 40
18:39:22, 60
18:39:22, 68
18:39:22, 54
18:39:22, 39
18:39:22, 48
18:39:22, 58
18:39:22, 64
18:39:22, 87
18:39:22, 102
18:39:22, 101
18:39:22, 77
18:39:22, 42
18:39:22, 29
18:39:22, 51
18:39:22, 76
18:39:22, 81
18:39:22, 45
18:39:22, 3
18:39:22, -17
18:39:22, 12
18:39:22, 56
18:39:22, 69
18:39:22, 50
18:39:22, 16
18:39:22, 3
18:39:22, 34
