Time, PoorSignal, Attention, Meditation
13:19:38, 0, 44, 43
13:19:39, 0, 30, 44
13:19:40, 0, 38, 67
13:19:41, 0, 30, 57
13:19:42, 0, 26, 64
13:19:43, 0, 41, 74
13:19:44, 0, 35, 60
13:19:45, 0, 40, 69
13:19:46, 0, 54, 63
13:19:47, 0, 57, 53
13:19:48, 0, 70, 61
13:19:49, 0, 78, 60
13:19:50, 0, 66, 50
13:19:51, 0, 51, 40
13:19:52, 0, 57, 43
13:19:53, 0, 53, 51
13:19:54, 0, 47, 51
13:19:55, 0, 63, 70
13:19:56, 0, 48, 50
13:19:57, 0, 34, 50
13:19:58, 0, 37, 50
13:19:59, 0, 29, 51
13:20:00, 0, 40, 63
13:20:01, 0, 50, 56
13:20:02, 0, 50, 75
13:20:03, 0, 50, 70
13:20:04, 0, 43, 70
13:20:05, 0, 38, 70
13:20:06, 0, 27, 61
13:20:07, 0, 23, 51
13:20:08, 0, 14, 54
13:20:09, 0, 20, 34
