Time, Value
12:54:44, 38
12:54:45, 53
12:54:46, 53
12:54:47, 38
12:54:48, 35
12:54:49, 34
12:54:50, 51
12:54:51, 57
12:54:52, 56
12:54:53, 48
12:54:54, 35
12:54:55, 23
12:54:56, 24
12:54:57, 38
12:54:58, 37
12:54:59, 35
12:55:00, 40
12:55:01, 44
12:55:02, 57
12:55:03, 64
12:55:04, 67
12:55:05, 64
12:55:06, 69
12:55:07, 66
12:55:08, 61
12:55:09, 57
12:55:10, 47
12:55:11, 38
12:55:12, 54
12:55:13, 56
12:55:14, 48
12:55:15, 54
12:55:16, 43
12:55:17, 53
12:55:18, 57
12:55:19, 70
12:55:20, 60
12:55:21, 51
12:55:22, 60
